time,S0,S1,S2,S3,S4,S5,S6,S7,startTime:,23:28:15:127
11746,19,42,27,24,35,76,175,35, ,
11770,27,36,12,34,41,56,152,25, ,
11817,18,19,65,19,33,97,151,16, ,
11843,27,17,34,32,47,96,163,35, ,
11867,7,40,28,5,25,88,141,20, ,
11893,30,29,21,18,33,90,148,29, ,
11917,30,27,69,32,31,87,132,22, ,
11943,35,21,6,13,54,98,179,22, ,
11967,20,41,32,28,42,70,130,27, ,
11993,23,20,30,22,29,97,121,27, ,
12017,17,21,28,22,54,82,122,21, ,
12043,21,47,128,11,31,93,115,13, ,
12069,37,25,104,26,41,85,120,29, ,
12094,29,36,131,31,33,78,107,20, ,
12119,34,33,97,36,22,84,117,29, ,
12144,38,29,8,15,25,73,114,43, ,
12169,21,22,21,26,34,90,101,24, ,
12194,14,24,23,52,23,79,110,29, ,
12219,25,31,12,17,29,85,101,27, ,
12244,31,20,31,17,18,81,100,25, ,
12269,22,24,22,26,17,87,89,14, ,
12294,26,94,27,17,31,77,109,25, ,
12319,24,21,39,19,15,74,104,22, ,
12345,12,15,27,22,18,81,98,24, ,
12369,10,25,18,13,15,112,98,16, ,
12396,13,26,15,28,25,88,89,17, ,
12420,19,17,20,22,23,77,73,23, ,
12446,25,30,19,31,27,95,84,17, ,
12470,21,30,27,24,27,83,97,10, ,
12496,20,16,9,40,13,83,89,16, ,
12521,11,38,21,27,32,95,80,26, ,
12546,22,22,12,16,32,89,81,27, ,
12571,25,42,28,39,37,79,71,22, ,
12596,20,32,20,66,18,85,77,13, ,
12621,43,30,19,14,22,85,66,19, ,
12646,24,27,31,9,14,86,64,25, ,
12671,5,19,27,17,42,102,60,21, ,
12698,30,18,47,14,19,94,53,22, ,
12722,27,24,20,24,15,92,62,20, ,
12748,27,20,18,30,22,93,58,15, ,
12772,13,24,18,38,15,168,64,30, ,
12798,12,27,17,36,28,85,61,26, ,
12822,26,21,18,9,28,85,50,23, ,
12848,21,20,12,35,19,88,61,23, ,
12872,29,23,8,34,26,90,33,19, ,
12898,34,22,19,24,68,60,48,20, ,
12922,6,20,11,19,16,78,62,14, ,
12948,11,27,24,18,14,83,53,26, ,
12972,27,22,23,40,17,86,51,23, ,
12998,22,19,17,13,23,82,45,18, ,
13024,43,21,18,7,26,83,44,22, ,
13049,66,21,17,16,20,91,52,25, ,
13074,17,23,4,19,14,82,52,17, ,
13100,16,24,7,22,32,92,47,27, ,
13124,28,27,8,19,34,101,57,18, ,
13150,47,10,13,22,28,85,59,18, ,
13174,17,31,22,13,20,87,48,21, ,
13200,17,15,21,21,26,119,26,19, ,
13224,30,21,28,14,25,70,43,29, ,
13250,31,14,30,10,19,91,44,16, ,
13274,21,15,19,28,21,84,35,25, ,
13300,11,33,6,20,18,94,42,29, ,
13326,23,24,32,26,25,83,37,31, ,
13351,24,24,31,10,35,89,50,17, ,
13376,17,14,33,18,27,89,40,17, ,
13421,24,15,19,25,31,95,47,28, ,
13447,15,17,32,20,33,89,41,23, ,
13471,34,26,12,15,26,95,38,22, ,
13497,23,10,9,69,29,86,41,30, ,
13521,24,28,29,32,38,93,38,24, ,
13547,23,16,29,22,25,85,47,26, ,
13571,31,16,14,29,16,87,38,14, ,
13597,33,23,18,44,25,89,41,24, ,
13621,33,18,19,34,25,94,43,15, ,
13647,26,24,29,26,15,82,121,16, ,
13673,22,14,21,31,13,79,45,23, ,
13698,20,16,5,20,29,89,46,11, ,
13723,127,15,23,28,11,95,48,17, ,
13748,15,34,20,19,29,87,45,30, ,
13773,23,39,24,14,31,82,42,27, ,
13798,33,82,36,25,18,91,47,18, ,
13831,35,14,18,22,45,87,46,17, ,
13857,16,4,10,36,21,90,42,21, ,
13881,22,24,24,25,24,81,37,11, ,
13907,35,49,23,10,23,85,42,19, ,
13931,16,23,13,36,19,92,41,30, ,
13957,30,19,17,38,9,96,53,26, ,
13989,36,30,19,24,18,91,46,20, ,
14014,23,9,27,26,23,82,40,34, ,
14039,31,34,25,17,20,96,36,28, ,
14064,35,20,23,30,10,88,37,14, ,
14089,32,36,19,18,28,61,35,27, ,
14113,17,17,10,18,29,87,45,21, ,
14138,34,60,20,23,14,85,40,14, ,
14163,22,19,21,15,26,95,39,21, ,
14188,38,11,27,23,35,89,20,20, ,
14231,14,43,30,25,27,86,36,24, ,
14257,22,21,26,28,16,69,33,16, ,
14281,31,113,9,15,23,72,30,14, ,
14306,24,27,33,35,27,75,29,9, ,
14333,13,113,27,64,19,83,38,22, ,
14358,25,26,24,27,10,76,27,19, ,
14382,26,15,30,17,32,79,34,22, ,
14407,29,13,29,36,19,82,27,20, ,
14432,19,18,22,19,16,102,25,23, ,
14457,21,27,10,23,26,82,18,20, ,
14482,12,23,31,23,22,88,17,31, ,
14507,16,36,21,38,16,80,26,15, ,
14532,100,13,18,25,18,89,32,14, ,
14557,11,26,20,9,21,77,31,28, ,
14581,32,18,15,35,15,86,52,11, ,
14606,17,39,48,32,22,76,43,24, ,
14632,21,25,25,16,29,81,33,23, ,
14657,23,21,28,30,29,78,38,27, ,
14682,16,21,46,13,37,75,44,18, ,
14707,25,13,38,37,23,83,27,8, ,
14731,25,16,12,21,35,83,46,26, ,
14756,29,26,16,28,24,75,36,11, ,
14781,42,19,22,23,14,81,42,33, ,
14806,33,14,22,21,20,87,29,16, ,
14830,40,9,36,14,26,85,48,4, ,
14855,31,34,17,33,29,86,40,19, ,
14879,19,18,72,111,21,84,39,12, ,
14904,32,23,35,25,27,94,35,31, ,
14929,25,26,16,14,17,81,28,17, ,
14955,12,31,22,26,21,89,42,23, ,
14980,35,34,14,28,27,87,37,16, ,
15005,29,26,27,27,41,107,34,25, ,
15032,24,13,19,35,13,79,42,15, ,
15057,19,17,22,59,13,94,38,28, ,
15082,23,24,16,29,33,97,50,16, ,
15107,31,26,19,30,29,92,27,18, ,
15131,18,11,20,37,22,87,31,10, ,
15156,17,18,22,38,28,96,40,24, ,
15181,25,19,39,23,7,87,41,18, ,
15206,38,25,21,11,42,84,21,22, ,
15230,49,16,20,24,20,92,39,24, ,
15256,28,26,30,29,25,82,16,22, ,
15281,14,38,28,36,20,80,25,22, ,
15306,37,23,13,33,15,90,42,23, ,
15331,20,26,20,23,22,87,31,21, ,
15356,9,29,18,17,15,88,20,23, ,
15381,26,13,25,42,42,87,29,31, ,
15406,35,13,26,18,11,90,25,18, ,
15433,40,31,35,37,31,89,37,8, ,
15458,31,54,19,13,18,91,28,20, ,
15483,14,12,25,16,24,86,31,24, ,
15508,23,17,32,9,12,81,32,13, ,
15533,21,16,28,17,20,94,24,22, ,
15558,28,33,23,27,24,92,29,13, ,
15584,24,25,15,14,124,74,30,23, ,
15609,28,38,10,23,21,68,36,22, ,
15633,16,19,26,13,20,87,25,27, ,
15658,8,10,25,11,15,92,24,11, ,
15682,19,18,38,30,31,97,37,16, ,
15707,29,19,30,21,20,92,34,23, ,
15732,25,19,28,39,20,87,41,8, ,
15757,25,33,32,22,23,88,25,23, ,
15782,34,33,44,33,21,90,31,31, ,
15807,26,26,36,25,26,86,20,18, ,
15833,33,24,22,31,24,100,17,17, ,
15858,29,23,34,41,26,85,26,28, ,
15885,18,10,21,17,19,87,32,12, ,
15910,30,33,13,17,19,75,31,19, ,
15935,29,26,15,30,19,97,30,21, ,
15960,139,9,28,32,10,90,32,23, ,
15984,6,21,20,27,27,96,33,5, ,
16009,47,21,26,107,22,81,31,22, ,
16034,27,18,28,23,9,87,25,20, ,
16059,31,39,49,45,26,91,29,16, ,
16084,12,16,15,23,31,88,22,18, ,
16109,13,28,24,25,35,93,24,22, ,
16134,22,14,34,37,25,86,32,26, ,
16159,91,16,21,19,10,76,27,22, ,
16183,21,31,12,33,15,78,31,24, ,
16209,17,21,35,28,32,87,29,18, ,
16235,12,22,50,22,20,92,30,31, ,
16260,20,24,8,36,27,69,38,23, ,
16284,25,28,17,32,22,86,32,22, ,
